Time,Hips.X,Hips.Y,Hips.Z,lowerback.X,lowerback.Y,lowerback.Z,Chest.X,Chest.Y,Chest.Z,Chest2.X,Chest2.Y,Chest2.Z,RightCollar.X,RightCollar.Y,RightCollar.Z,RightShoulder.X,RightShoulder.Y,RightShoulder.Z,RightElbow.X,RightElbow.Y,RightElbow.Z,RightWrist.X,RightWrist.Y,RightWrist.Z,RThumb.X,RThumb.Y,RThumb.Z,RThumbEnd.X,RThumbEnd.Y,RThumbEnd.Z,RightHand.X,RightHand.Y,RightHand.Z,RFingers.X,RFingers.Y,RFingers.Z,RFingersEnd.X,RFingersEnd.Y,RFingersEnd.Z,LeftCollar.X,LeftCollar.Y,LeftCollar.Z,LeftShoulder.X,LeftShoulder.Y,LeftShoulder.Z,LeftElbow.X,LeftElbow.Y,LeftElbow.Z,LeftWrist.X,LeftWrist.Y,LeftWrist.Z,LThumb.X,LThumb.Y,LThumb.Z,LThumbEnd.X,LThumbEnd.Y,LThumbEnd.Z,LeftHand.X,LeftHand.Y,LeftHand.Z,LFingers.X,LFingers.Y,LFingers.Z,LFingersEnd.X,LFingersEnd.Y,LFingersEnd.Z,lowerneck.X,lowerneck.Y,lowerneck.Z,Neck.X,Neck.Y,Neck.Z,Head.X,Head.Y,Head.Z,HeadEnd.X,HeadEnd.Y,HeadEnd.Z,RHipJoint.X,RHipJoint.Y,RHipJoint.Z,RightUpLeg.X,RightUpLeg.Y,RightUpLeg.Z,RightLeg.X,RightLeg.Y,RightLeg.Z,RightFoot.X,RightFoot.Y,RightFoot.Z,RightToe.X,RightToe.Y,RightToe.Z,RightToeEnd.X,RightToeEnd.Y,RightToeEnd.Z,LHipJoint.X,LHipJoint.Y,LHipJoint.Z,LeftUpLeg.X,LeftUpLeg.Y,LeftUpLeg.Z,LeftLeg.X,LeftLeg.Y,LeftLeg.Z,LeftFoot.X,LeftFoot.Y,LeftFoot.Z,LeftToe.X,LeftToe.Y,LeftToe.Z,LeftToeEnd.X,LeftToeEnd.Y,LeftToeEnd.Z
0,13.3271,31.7893,45.6724,13.3271,31.7893,45.6724,13.15967995,33.81636439,45.88406522,13.0983844,35.7481442,45.20047129,13.0983844,35.7481442,45.20047129,15.80283344,37.73202595,46.00058578,16.42096221,34.76206957,41.72568326,15.33574484,37.73981614,40.3774861,15.33574484,37.73981614,40.3774861,15.27825818,37.95901666,39.69341797,15.33574484,37.73981614,40.3774861,15.26008368,38.19457457,39.95913964,15.17629802,38.51723789,39.58394376,13.0983844,35.7481442,45.20047129,9.827395854,36.32866059,43.85569469,8.772958847,33.63464132,39.79851442,10.19160678,36.54466521,38.51228377,10.19160678,36.54466521,38.51228377,10.75667888,36.28584178,37.96524246,10.19160678,36.54466521,38.51228377,10.55129088,36.89861749,38.00538931,10.86364253,37.11978421,37.57404434,13.0983844,35.7481442,45.20047129,12.90940556,37.34554668,44.49728446,12.70080851,38.92856366,43.73627679,12.67613872,40.44596682,42.8216098,13.3271,31.7893,45.6724,14.96245758,31.16648611,44.070153,16.78898267,32.41005577,36.97228654,14.52519175,26.97051941,41.62771736,15.38833025,25.87889927,39.65799429,15.78128996,25.18224497,38.74896155,13.3271,31.7893,45.6724,12.34909502,30.73553359,43.74467603,9.906964834,32.65021016,37.29455346,12.13683533,25.62045782,38.61021138,11.82582221,25.41185857,36.27217153,11.56378773,25.70335063,35.14893459
0.0083333,13.3284,31.6987,45.6344,13.3284,31.6987,45.6344,13.16015048,33.72380181,45.86347729,13.10022625,35.66143713,45.19653687,13.10022625,35.66143713,45.19653687,15.81303278,37.62911804,46.00828015,16.45185091,34.72303297,41.6927157,15.36302475,37.70719242,40.36171722,15.36302475,37.70719242,40.36171722,15.3012982,37.92343297,39.6770767,15.36302475,37.70719242,40.36171722,15.28328016,38.16246815,39.94469395,15.19676652,38.4854266,39.57037211,13.10022625,35.66143713,45.19653687,9.828224545,36.26478389,43.86433307,8.760398933,33.57885501,39.80529087,10.17800646,36.48967582,38.51971653,10.17800646,36.48967582,38.51971653,10.76048193,36.26767599,37.97474988,10.17800646,36.48967582,38.51971653,10.53538485,36.85938603,38.02253254,10.84757681,37.09413204,37.59830707,13.10022625,35.66143713,45.19653687,12.91052737,37.26040189,44.49710465,12.70111956,38.85046502,43.75115841,12.67616422,40.37944178,42.85598026,13.3284,31.6987,45.6344,14.96229056,31.09404396,44.02372321,16.75790549,32.57541551,36.96371804,14.5318157,26.99814854,41.47203908,15.3956434,25.96371581,39.47198852,15.79683183,25.31721509,38.53009164,13.3284,31.6987,45.6344,12.34905574,30.66269085,43.69775161,9.825731166,32.62950188,37.29474023,12.13866135,25.62555633,38.6046245,11.81777395,25.41587115,36.26801659,11.5528194,25.68153563,35.13907355
0.0166666,13.3297,31.608,45.5939,13.3297,31.608,45.5939,13.16062532,33.63074222,45.84239416,13.10144262,35.57375987,45.19123302,13.10144262,35.57375987,45.19123302,15.82022435,37.5302942,46.00989899,16.47890012,34.69207556,41.65235647,15.38649935,37.68313097,40.339895,15.38649935,37.68313097,40.339895,15.3167952,37.89151372,39.65358549,15.38649935,37.68313097,40.339895,15.30039767,38.13737982,39.92301602,15.20943212,38.4592074,39.54877561,13.10144262,35.57375987,45.19123302,9.828632915,36.19256297,43.86813484,8.749339521,33.50842346,39.81094248,10.16203468,36.4159703,38.51261507,10.16203468,36.4159703,38.51261507,10.75642931,36.26509839,37.95630316,10.16203468,36.4159703,38.51261507,10.49825615,36.81026054,38.01957633,10.79628197,37.06643467,37.59756664,13.10144262,35.57375987,45.19123302,12.91157047,37.17446638,44.49584345,12.70013816,38.77203752,43.76669944,12.67288019,40.31293374,42.89226676,13.3297,31.608,45.5939,14.96204196,31.01783577,43.97629284,16.70757741,32.73221303,36.95657888,14.53967998,26.99916015,41.29462759,15.40206601,26.01425922,39.26911232,15.81165938,25.42204905,38.29566204,13.3297,31.608,45.5939,12.34894562,30.58514676,43.6509823,9.755972214,32.60785353,37.29337162,12.1419049,25.62811173,38.60150992,11.79976033,25.42314731,36.26750053,11.51845837,25.70256194,35.1458555
0.0249999,13.3335,31.5161,45.5546,13.3335,31.5161,45.5546,13.16393879,33.53659426,45.82044505,13.10342318,35.48481359,45.1851417,13.10342318,35.48481359,45.1851417,15.82688156,37.43122076,46.01235883,16.49573374,34.66172631,41.61235282,15.40321352,37.66728157,40.33354705,15.40321352,37.66728157,40.33354705,15.32026844,37.86525754,39.64563106,15.40321352,37.66728157,40.33354705,15.30848574,38.12057471,39.91749949,15.21114351,38.44133806,39.54395033,13.10342318,35.48481359,45.1851417,9.828943708,36.1181508,43.8730984,8.752383735,33.44026408,39.81105084,10.15193843,36.34439585,38.49102979,10.15193843,36.34439585,38.49102979,10.74696403,36.29631591,37.91728499,10.15193843,36.34439585,38.49102979,10.447125,36.76882511,37.99674085,10.71620516,37.05182497,37.57242528,13.10342318,35.48481359,45.1851417,12.91009721,37.08716526,44.49450895,12.69502256,38.69034773,43.77887143,12.66466376,40.24047209,42.92100813,13.3335,31.5161,45.5546,14.96023485,30.93484729,43.92814188,16.64962117,32.85297699,36.94751727,14.54986618,26.97005035,41.11507583,15.40104404,26.03036049,39.06350793,15.81576959,25.50175963,38.05620018,13.3335,31.5161,45.5546,12.34581558,30.5058763,43.60858749,9.694888402,32.59157246,37.29538514,12.14275786,25.63320259,38.60294779,11.79738461,25.43140865,36.26913767,11.51249837,25.70741582,35.14755361
0.0333332,13.338,31.4217,45.5166,13.338,31.4217,45.5166,13.1704319,33.43987999,45.80066359,13.11227779,35.39364275,45.18239161,13.11227779,35.39364275,45.18239161,15.83964772,37.33098638,46.01795577,16.51817698,34.62597087,41.57948704,15.41793319,37.6363773,40.31884287,15.41793319,37.6363773,40.31884287,15.33870206,37.84581952,39.63389092,15.41793319,37.6363773,40.31884287,15.32502563,38.09453583,39.90774368,15.22918745,38.41969225,39.53761944,13.11227779,35.39364275,45.18239161,9.835810037,36.04008701,43.88175393,8.774754385,33.39417994,39.794747,10.15904349,36.29243156,38.44601741,10.15904349,36.29243156,38.44601741,10.74468132,36.32974939,37.86190616,10.15904349,36.29243156,38.44601741,10.41107802,36.73580515,37.94452431,10.64912016,37.03645891,37.51385041,13.11227779,35.39364275,45.18239161,12.91170552,36.997532,44.49741756,12.69170273,38.6048089,43.79254317,12.65821897,40.1617991,42.94732309,13.338,31.4217,45.5166,14.96574513,30.85421709,43.88629453,16.56104345,32.99401341,36.9480914,14.58669022,26.91965496,40.89656451,15.40110946,26.04796106,38.80053907,15.80121194,25.56758512,37.76360029,13.338,31.4217,45.5166,12.35248123,30.41915697,43.56552406,9.613821047,32.57002213,37.31191815,12.1411896,25.63723581,38.60403976,11.80755303,25.43384933,36.26866105,11.53369701,25.67199347,35.13570864
0.0416665,13.3394,31.3254,45.476,13.3394,31.3254,45.476,13.17606906,33.34080288,45.78144378,13.12464995,35.30013192,45.1804306,13.12464995,35.30013192,45.1804306,15.85348691,37.23382912,46.01964364,16.53890853,34.59376478,41.54328652,15.42538746,37.60697582,40.30113635,15.42538746,37.60697582,40.30113635,15.3590528,37.84248742,39.62331869,15.42538746,37.60697582,40.30113635,15.34068853,38.07427209,39.89863929,15.25106949,38.40784488,39.53449476,13.12464995,35.30013192,45.1804306,9.84610594,35.95217161,43.88784293,8.811265283,33.36237129,39.75839646,10.1804079,36.25871943,38.39025677,10.1804079,36.25871943,38.39025677,10.75343575,36.33390824,37.79735209,10.1804079,36.25871943,38.39025677,10.40480202,36.70692113,37.88000254,10.62236435,37.01267203,37.44214437,13.12464995,35.30013192,45.1804306,12.91454396,36.90718204,44.50580124,12.69074094,38.5186354,43.81174182,12.65663329,40.0810015,42.976526,13.3394,31.3254,45.476,14.97783403,30.77839687,43.84940585,16.45270226,33.10002902,36.94309313,14.62184952,26.84902301,40.67930021,15.40191373,26.04866005,38.54215946,15.7890735,25.62266308,37.47692758,13.3394,31.3254,45.476,12.36957617,30.32224476,43.51738865,9.514594325,32.54506619,37.34145059,12.13770332,25.64177717,38.60025805,11.76365347,25.45109576,36.26993609,11.45546303,25.73461172,35.15641542
0.0499998,13.34,31.2307,45.4375,13.34,31.2307,45.4375,13.18284453,33.24340777,45.76327795,13.13838418,35.20785424,45.17863758,13.13838418,35.20785424,45.17863758,15.86624964,37.14186602,46.02028065,16.55930483,34.56758707,41.50693621,15.43113627,37.58278473,40.28295673,15.43113627,37.58278473,40.28295673,15.37736847,37.84520971,39.61396873,15.43113627,37.58278473,40.28295673,15.35337488,38.05971624,39.89048621,15.26900564,38.40218418,39.53341318,13.13838418,35.20785424,45.17863758,9.85698239,35.86049781,43.89362858,8.856593469,33.32001588,39.72524009,10.20194782,36.23165269,38.36598183,10.20194782,36.23165269,38.36598183,10.77316842,36.29990289,37.77049952,10.20194782,36.23165269,38.36598183,10.42084014,36.67744088,37.85124314,10.63409665,36.98125462,37.40993188,13.13838418,35.20785424,45.17863758,12.9147421,36.8184912,44.51703935,12.68964765,38.43425886,43.83350769,12.66000078,40.00131158,43.00694646,13.34,31.2307,45.4375,14.98884605,30.7024277,43.81524167,16.3525421,33.17516386,36.93859448,14.66625742,26.76006803,40.45844258,15.40990361,26.03872291,38.28057593,15.7918969,25.73241545,37.17317269,13.34,31.2307,45.4375,12.38582243,30.22468347,43.47268118,9.428328881,32.52540104,37.37399296,12.13356777,25.64755879,38.59778411,11.736799,25.46608996,36.27048595,11.41035498,25.76612141,35.16653561
0.0583331,13.3442,31.1362,45.3995,13.3442,31.1362,45.3995,13.19338321,33.14634756,45.74356792,13.14930508,35.11555137,45.1751275,13.14930508,35.11555137,45.1751275,15.87316299,37.05282791,46.02222388,16.57047217,34.54312335,41.47330549,15.43350407,37.56306449,40.26932622,15.43350407,37.56306449,40.26932622,15.38277512,37.83839633,39.60530684,15.43350407,37.56306449,40.26932622,15.3553386,38.04577773,39.88407087,15.27075071,38.39349464,39.53215973,13.14930508,35.11555137,45.1751275,9.863289312,35.76577363,43.90072533,8.89636722,33.28104124,39.6910394,10.2128478,36.21802895,38.35830822,10.2128478,36.21802895,38.35830822,10.79265456,36.25531236,37.76840628,10.2128478,36.21802895,38.35830822,10.44424498,36.66041986,37.84611442,10.66666897,36.96083069,37.40700434,13.14930508,35.11555137,45.1751275,12.91250542,36.72909262,44.52528908,12.68652333,38.34825953,43.85014554,12.66124842,39.91918616,43.03082428,13.3442,31.1362,45.3995,14.98986253,30.61588968,43.77144625,16.29882914,33.22143291,36.93330919,14.72369092,26.66344797,40.2345384,15.41915525,26.03377806,38.01276056,15.77916463,25.79519365,36.88158604,13.3442,31.1362,45.3995,12.38673693,30.13530838,43.43366238,9.372083026,32.50992608,37.39155018,12.12942219,25.65053971,38.60258094,11.72527726,25.4702924,36.27645735,11.39211653,25.77203081,35.17498163
0.0666664,13.35,31.0436,45.3593,13.35,31.0436,45.3593,13.20417825,33.05042055,45.72430544,13.15594899,35.02432611,45.17276049,13.15594899,35.02432611,45.17276049,15.87376093,36.96806829,46.02445244,16.57177057,34.52085791,41.4417175,15.43145258,37.5482253,40.25975788,15.43145258,37.5482253,40.25975788,15.37873033,37.82615863,39.59697872,15.43145258,37.5482253,40.25975788,15.34889218,38.03369357,39.87890629,15.26118387,38.38380895,39.53015124,13.15594899,35.02432611,45.17276049,9.864798686,35.66799236,43.90831875,8.926680541,33.25463822,39.65086116,10.21714654,36.21452157,38.3435822,10.21714654,36.21452157,38.3435822,10.80640111,36.22068027,37.76195399,10.21714654,36.21452157,38.3435822,10.46866241,36.6560989,37.84024722,10.70601292,36.95514412,37.40807429,13.15594899,35.02432611,45.17276049,12.91232195,36.64022631,44.53136216,12.68574263,38.263628,43.86666906,12.66159667,39.84014946,43.05813106,13.35,31.0436,45.3593,14.98491648,30.52561536,43.71971864,16.27061199,33.23985227,36.91955153,14.7892433,26.5579679,40.00893809,15.43009918,26.0225446,37.74640031,15.76259433,25.83595449,36.59717614,13.35,31.0436,45.3593,12.37868063,30.05287479,43.39511077,9.30698853,32.4866617,37.40549841,12.12487719,25.64986377,38.60482895,11.71714849,25.47456623,36.27895251,11.37706965,25.78439184,35.18184477
0.0749997,13.3548,30.9498,45.3186,13.3548,30.9498,45.3186,13.21307377,32.95322766,45.70332453,13.16166157,34.93164872,45.16849941,13.16166157,34.93164872,45.16849941,15.8752029,36.87920635,46.02507825,16.5760549,34.49450224,41.40993921,15.43497751,37.5300147,40.24980411,15.43497751,37.5300147,40.24980411,15.37749639,37.80632813,39.58674333,15.43497751,37.5300147,40.24980411,15.34619429,38.01695434,39.87224493,15.25402187,38.36826927,39.52585545,13.16166157,34.93164872,45.16849941,9.866039855,35.57186978,43.91399394,8.954007653,33.21746199,39.61803652,10.22058829,36.19825338,38.33513105,10.22058829,36.19825338,38.33513105,10.81704613,36.17730452,37.76124131,10.22058829,36.19825338,38.33513105,10.49100103,36.63929607,37.84121287,10.74242223,36.93734118,37.4163679,13.16166157,34.93164872,45.16849941,12.9104065,36.54880917,44.53324955,12.68386021,38.17729449,43.88109887,12.662151,39.76116791,43.08698908,13.3548,30.9498,45.3186,14.98141476,30.43390557,43.67012666,16.23431695,33.24626122,36.90379387,14.85279574,26.44802121,39.77810651,15.45058204,25.99817912,37.48534721,15.76519192,25.8967037,36.320526,13.3548,30.9498,45.3186,12.37289724,29.96686189,43.35576105,9.223189095,32.45682882,37.43009901,12.11756401,25.6474737,38.60311771,11.70967298,25.48071546,36.27664189,11.36591605,25.79091069,35.1807856
